cluster_spec,policy_name,seed,total_jobs,cost,utilization,average_completion_time,total_completion_time
v100=5.p100=5.k80=10,finish_time_fairness,5,500,0.00,0.806,496182.947 seconds (137.83 hours),2219878.844 seconds (616.63 hours)
v100=5.p100=5.k80=10,finish_time_fairness,5,875,0.00,0.896,900656.825 seconds (250.18 hours),3742379.210 seconds (1039.55 hours)
v100=5.p100=5.k80=10,finish_time_fairness,5,750,0.00,0.885,784923.177 seconds (218.03 hours),3335710.633 seconds (926.59 hours)
v100=5.p100=5.k80=10,finish_time_fairness,5,625,0.00,0.886,669734.432 seconds (186.04 hours),2839496.651 seconds (788.75 hours)
v100=5.p100=5.k80=10,finish_time_fairness,9,1000,0.00,0.905,991922.959 seconds (275.53 hours),4140232.320 seconds (1150.06 hours)
v100=5.p100=5.k80=10,finish_time_fairness,9,500,0.00,0.845,556981.663 seconds (154.72 hours),2407423.335 seconds (668.73 hours)
v100=5.p100=5.k80=10,finish_time_fairness,9,875,0.00,0.883,838656.854 seconds (232.96 hours),3587505.485 seconds (996.53 hours)
v100=5.p100=5.k80=10,finish_time_fairness,9,750,0.00,0.871,745789.667 seconds (207.16 hours),3184215.249 seconds (884.50 hours)
v100=5.p100=5.k80=10,finish_time_fairness,9,625,0.00,0.852,651279.671 seconds (180.91 hours),2803857.513 seconds (778.85 hours)
v100=5.p100=5.k80=10,finish_time_fairness,8,1000,0.00,0.965,1101061.111 seconds (305.85 hours),4452130.812 seconds (1236.70 hours)
v100=5.p100=5.k80=10,finish_time_fairness,8,500,0.00,0.867,522676.390 seconds (145.19 hours),2269153.903 seconds (630.32 hours)
v100=5.p100=5.k80=10,finish_time_fairness,8,875,0.00,0.954,937775.007 seconds (260.49 hours),3898380.656 seconds (1082.88 hours)
v100=5.p100=5.k80=10,finish_time_fairness,8,750,0.00,0.931,806212.012 seconds (223.95 hours),3403102.400 seconds (945.31 hours)
v100=5.p100=5.k80=10,finish_time_fairness,8,625,0.00,0.912,660000.343 seconds (183.33 hours),2766696.094 seconds (768.53 hours)
v100=5.p100=10.k80=5,gandiva,5,1000,0.00,0.919,893703.980 seconds (248.25 hours),3474315.338 seconds (965.09 hours)
v100=5.p100=10.k80=5,gandiva,5,500,0.00,0.810,422151.809 seconds (117.26 hours),1727128.024 seconds (479.76 hours)
v100=5.p100=10.k80=5,gandiva,5,875,0.00,0.923,763618.112 seconds (212.12 hours),2944497.580 seconds (817.92 hours)
v100=5.p100=10.k80=5,gandiva,5,750,0.00,0.891,665768.821 seconds (184.94 hours),2669780.148 seconds (741.61 hours)
v100=5.p100=10.k80=5,gandiva,5,625,0.00,0.881,563265.311 seconds (156.46 hours),2268361.570 seconds (630.10 hours)
v100=5.p100=10.k80=5,gandiva,9,1000,0.00,0.892,852200.279 seconds (236.72 hours),3447250.745 seconds (957.57 hours)
v100=5.p100=10.k80=5,gandiva,9,500,0.00,0.839,474208.458 seconds (131.72 hours),1912650.396 seconds (531.29 hours)
v100=5.p100=10.k80=5,gandiva,9,875,0.00,0.879,716845.068 seconds (199.12 hours),2957791.625 seconds (821.61 hours)
v100=5.p100=10.k80=5,gandiva,9,750,0.00,0.888,638022.660 seconds (177.23 hours),2526274.464 seconds (701.74 hours)
v100=5.p100=10.k80=5,gandiva,9,625,0.00,0.863,553847.424 seconds (153.85 hours),2200721.935 seconds (611.31 hours)
v100=5.p100=10.k80=5,gandiva,8,1000,0.00,0.944,955130.962 seconds (265.31 hours),3785452.988 seconds (1051.51 hours)
v100=5.p100=10.k80=5,gandiva,8,500,0.00,0.861,454936.731 seconds (126.37 hours),1882470.997 seconds (522.91 hours)
v100=5.p100=10.k80=5,gandiva,8,875,0.00,0.933,814209.595 seconds (226.17 hours),3365668.086 seconds (934.91 hours)
v100=5.p100=10.k80=5,gandiva,8,750,0.00,0.926,708410.879 seconds (196.78 hours),2859075.399 seconds (794.19 hours)
v100=5.p100=10.k80=5,gandiva,8,625,0.00,0.907,575712.653 seconds (159.92 hours),2291502.710 seconds (636.53 hours)
v100=5.p100=10.k80=5,allox,5,1000,0.00,0.910,483418.030 seconds (134.28 hours),3492088.017 seconds (970.02 hours)
v100=5.p100=10.k80=5,allox,5,500,0.00,0.776,241552.293 seconds (67.10 hours),1831729.576 seconds (508.81 hours)
v100=5.p100=10.k80=5,allox,5,875,0.00,0.875,422413.642 seconds (117.34 hours),3115342.697 seconds (865.37 hours)
v100=5.p100=10.k80=5,allox,5,750,0.00,0.890,371611.854 seconds (103.23 hours),2688289.827 seconds (746.75 hours)
v100=5.p100=10.k80=5,allox,5,625,0.00,0.826,321537.055 seconds (89.32 hours),2448097.208 seconds (680.03 hours)
